score,title,type,genres,studios,main_actors
7.06,Zombie-Loan,TV,Action Horror Shounen Supernatural,Nihon_Ad_Systems Discotek_Media Xebec,Suzumura_Kenichi Kuwashima_Houko Sakurai_Takahiro 
8.64,Zoku_Natsume_Yuujinchou,TV,Drama Fantasy Shoujo Slice_of_Life Supernatural,Aniplex Nihon_Ad_Systems NIS_America,_Inc. Brain,s_Base 
7.69,Zettai_Karen_Children:_The_Unlimited_-_Hyoubu_Kyousuke,TV,Shounen Supernatural,TV_Tokyo Geneon_Universal_Entertainment Shogakukan_Productions Half_H.P_Studio UNLIMITED_Partners Sentai_Filmworks Manglobe,Suwabe_Junichi Hirano_Aya Yusa_Kouji Touyama_Nao 
8.17,Zetsuen_no_Tempest,TV,Action Mystery Psychological Drama Magic Fantasy Shounen,Aniplex Dentsu Square_Enix Mainichi_Broadcasting_System Yahoo!_Japan Aniplex_of_America Bones,Hanazawa_Kana Sanpei_Yuuko Toyonaga_Toshiyuki Sawashiro_Miyuki Kuwashima_Houko Uchiyama_Kouki 
7.60,Zero_no_Tsukaima:_Princesses_no_Rondo,TV,Action Adventure Harem Comedy Magic Romance Ecchi Fantasy School,Sentai_Filmworks J.C.Staff,Hino_Satoshi Kugimiya_Rie 
7.73,Zero_no_Tsukaima:_Futatsuki_no_Kishi,TV,Action Adventure Harem Comedy Magic Romance Ecchi Fantasy School,Genco Media_Factory Shochiku Happinet_Pictures Sentai_Filmworks J.C.Staff,Kawasumi_Ayako Hino_Satoshi Kugimiya_Rie 
7.77,Zero_no_Tsukaima_F,TV,Adventure Ecchi Fantasy Magic Romance,Cospa Showgate Sentai_Filmworks J.C.Staff,Hino_Satoshi Kugimiya_Rie 
7.61,Zero_no_Tsukaima,TV,Action Adventure Harem Comedy Magic Romance Ecchi Fantasy School,Genco Media_Factory Shochiku Bushiroad Happinet_Pictures FUNimation_Entertainment Sentai_Filmworks Geneon_Entertainment_USA J.C.Staff,Gotou_Tetsuo Hino_Satoshi Kugimiya_Rie 
6.68,Z/X:_Ignition,TV,Adventure Fantasy Game Sci-Fi,Sotsu Pony_Canyon Discotek_Media Telecom_Animation_Film,Uchida_Maaya Ichimichi_Mao Ogura_Yui Sawashiro_Miyuki Nakamura_Yuuichi Shimono_Hiro 
7.07,Yuusha_ni_Narenakatta_Ore_wa_Shibushibu_Shuushoku_wo_Ketsui_Shimashita.,TV,Comedy Romance Ecchi Fantasy,Sentai_Filmworks Asread,Tadokoro_Azusa Koumoto_Keisuke 
